dataSCET, double, {0.0, 1.0, 0.0}
Acquisition ID, double,  {0.0, 1.0, 0.0}
NumberOfSubslices, double,  {0.0, 1.0, 0.0}
FirstSerialNum, double, {0.0, 1.0, 0.0}
Data Type__Real science/Dummy, int,  {0.0, 1.0, 0.0}
Data Type__Spectrum type, int, {0.0, 1.0, 0.0}
Data Type__Shutter state, int, {0.0, 1.0, 0.0}
Data Type__Compression mode, int, {0.0, 1.0, 0.0}
Data Type__Average/summing mode, int, {0.0, 1.0, 0.0}
Data Type__Image type, int, {0.0, 1.0, 0.0}
ME_default HK SCET, double, {0.0, 1.0, 0.0}
V_MODE__V-M operative mode, int, {0.0, 1.0, 0.0}
V_MODE__V-H operative mode, int, {0.0, 1.0, 0.0}
V_MODE__ME operative mode, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__-M power converter status, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__-H power converter status, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__-M IFE +5V power status, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__-H IFE +5V power status, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__ADC power status, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__EEPROM +5V power status, int, {0.0, 1.0, 0.0}
ME_PWR_STAT__DPU_ID, int, {0.0, 1.0, 0.0}
ME_PS_TEMP, double, {0.0, 1.0, 0.0}
ME_DPU_TEMP, double, {0.0, 1.0, 0.0}
ME_DHSU_VOLT, double, {0.0, 1.0, 0.0}
ME_DHSU_CURR, double, {0.0, 1.0, 0.0}
EEPROM_VOLT, double, {0.0, 1.0, 0.0} 
IFE_ELECTR_VOLT, double, {0.0, 1.0, 0.0}
H_ME_general HK SCET, double, {0.0, 1.0, 0.0}
H_ECA_STAT__-H ECA status, int, {0.0, 1.0, 0.0}
H_ECA_STAT__-H ECA power, int, {0.0, 1.0, 0.0}
H_COOL_STAT__-H cooler mode, int, {0.0, 1.0, 0.0}
H_COOL_STAT__-H cooler motor drv status, int, {0.0, 1.0, 0.0}
H_COOL_STAT__-H CCE +28V power, int, {0.0, 1.0, 0.0}
H_COOL_TIP_TEMP, double, {0.0, 1.0, 0.0}
H_COOL_MOT_VOLT, double, {0.0, 1.0, 0.0}
H_COOL_MOT_CURR, double, {0.0, 1.0, 0.0}
H_CCE_SEC_VOLT, double, {0.0, 1.0, 0.0}
H_HK_report SCET, double, {0.0, 1.0, 0.0}
